time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2018/04/09/18:37:27.365727,1032,1523324247,164546346,map,1.01065826416,-0.238925933838,0.0,0.0,0.0,-0.575798454398,0.817591670648
2018/04/09/18:37:27.507957,1033,1523324247,302545059,map,1.00082397461,-0.222644805908,0.0,0.0,0.0,-0.576358740088,0.817196795591
2018/04/09/18:37:27.663077,1034,1523324247,440834872,map,0.995403289795,-0.193378448486,0.0,0.0,0.0,-0.56887812833,0.822421835257
2018/04/09/18:37:27.793565,1035,1523324247,593844533,map,0.982311248779,-0.161483764648,0.0,0.0,0.0,-0.555437358278,0.83155838101
2018/04/09/18:37:27.967469,1036,1523324247,731640784,map,0.974407196045,-0.134544372559,0.0,0.0,0.0,-0.543309867053,0.83953224379
2018/04/09/18:37:28.096274,1037,1523324247,885512674,map,0.96231842041,-0.10718536377,0.0,0.0,0.0,-0.532414112412,0.846484029917
2018/04/09/18:37:28.242124,1038,1523324248,23152960,map,0.949348449707,-0.0788497924805,0.0,0.0,0.0,-0.522734902203,0.852495291493
2018/04/09/18:37:28.391080,1039,1523324248,161149338,map,0.936279296875,-0.0526466369629,0.0,0.0,0.0,-0.521065620455,0.853516619159
2018/04/09/18:37:28.551191,1040,1523324248,314572531,map,0.910682678223,-0.0483474731445,0.0,0.0,0.0,-0.550226397271,0.835015515872
2018/04/09/18:37:28.697509,1041,1523324248,452501358,map,0.884429931641,-0.044921875,0.0,0.0,0.0,-0.603263316283,0.797542081164
2018/04/09/18:37:28.816132,1042,1523324248,607576850,map,0.856464385986,-0.0319633483887,0.0,0.0,0.0,-0.657740659511,0.753244465513
2018/04/09/18:37:28.965198,1043,1523324248,743712068,map,0.834697723389,-0.0169906616211,0.0,0.0,0.0,-0.707970952461,0.706241552495
2018/04/09/18:37:29.125739,1044,1523324248,881851421,map,0.812187194824,-0.0001220703125,0.0,0.0,0.0,-0.757700884276,0.652601999665
2018/04/09/18:37:29.261697,1045,1523324249,35282102,map,0.789989471436,0.0167121887207,0.0,0.0,0.0,-0.807468798316,0.589910281099
2018/04/09/18:37:29.407944,1046,1523324249,173154867,map,0.772258758545,0.0398483276367,0.0,0.0,0.0,-0.855802641291,0.517302463903
2018/04/09/18:37:29.539592,1047,1523324249,326444239,map,0.757667541504,0.065788269043,0.0,0.0,0.0,-0.898837621164,0.438281793804
2018/04/09/18:37:29.700638,1048,1523324249,464354092,map,0.749187469482,0.112609863281,0.0,0.0,0.0,-0.925552953496,0.378618185347
2018/04/09/18:37:29.813621,1049,1523324249,602442726,map,0.751731872559,0.117156982422,0.0,0.0,0.0,-0.92763815912,0.373480181195
2018/04/09/18:37:29.961605,1050,1523324249,740343683,map,0.750602722168,0.117370605469,0.0,0.0,0.0,-0.927430274543,0.373996104071
2018/04/09/18:37:30.101818,1051,1523324249,894017946,map,0.750255584717,0.115898132324,0.0,0.0,0.0,-0.928834350148,0.370495276602
2018/04/09/18:37:30.250934,1052,1523324250,31701914,map,0.731578826904,0.108673095703,0.0,0.0,0.0,-0.937222907725,0.348730872214
2018/04/09/18:37:30.410322,1053,1523324250,185137366,map,0.705333709717,0.0988883972168,0.0,0.0,0.0,-0.951368865409,0.30805402437
2018/04/09/18:37:30.533019,1054,1523324250,323382160,map,0.670440673828,0.0941543579102,0.0,0.0,0.0,-0.967386172695,0.253306124834
2018/04/09/18:37:30.697196,1055,1523324250,461194895,map,0.636192321777,0.103004455566,0.0,0.0,0.0,-0.982342152785,0.187093278506
2018/04/09/18:37:30.813646,1056,1523324250,615078053,map,0.619560241699,0.109973907471,0.0,0.0,0.0,-0.988855210729,0.148880395666
2018/04/09/18:37:30.961504,1057,1523324250,752403690,map,0.616188049316,0.109760284424,0.0,0.0,0.0,-0.989237467783,0.146318940448
2018/04/09/18:37:31.115525,1058,1523324250,890454855,map,0.605316162109,0.104698181152,0.0,0.0,0.0,-0.989848073338,0.142129489232
2018/04/09/18:37:31.264867,1059,1523324251,43891811,map,0.58097076416,0.0957221984863,0.0,0.0,0.0,-0.98941997821,0.14507965646
2018/04/09/18:37:31.405418,1060,1523324251,181814562,map,0.558174133301,0.079273223877,0.0,0.0,0.0,-0.985579033089,0.169215748487
2018/04/09/18:37:31.541964,1061,1523324251,335078401,map,0.539501190186,0.0580863952637,0.0,0.0,0.0,-0.97757214543,0.210600808354
2018/04/09/18:37:31.672984,1062,1523324251,473432251,map,0.538261413574,0.0481071472168,0.0,0.0,0.0,-0.971751488453,0.236006450527
2018/04/09/18:37:31.828778,1063,1523324251,611283675,map,0.5390625,0.04931640625,0.0,0.0,0.0,-0.972550975437,0.23268992281
2018/04/09/18:37:31.965397,1064,1523324251,764594906,map,0.538349151611,0.0484924316406,0.0,0.0,0.0,-0.972527003955,0.232790091239
2018/04/09/18:37:32.106565,1065,1523324251,902603000,map,0.539649963379,0.0484237670898,0.0,0.0,0.0,-0.972469419193,0.233030531763
2018/04/09/18:37:32.258479,1066,1523324252,40545463,map,0.541168212891,0.0490303039551,0.0,0.0,0.0,-0.972481918526,0.232978364103
2018/04/09/18:37:32.404954,1067,1523324252,194223603,map,0.537952423096,0.0485458374023,0.0,0.0,0.0,-0.972585915354,0.232543839426
2018/04/09/18:37:32.568832,1068,1523324252,331939030,map,0.534809112549,0.0462455749512,0.0,0.0,0.0,-0.972384405161,0.233385022225
2018/04/09/18:37:32.697051,1069,1523324252,485364276,map,0.525665283203,0.041919708252,0.0,0.0,0.0,-0.973520669216,0.22859900833
2018/04/09/18:37:32.836958,1070,1523324252,623381108,map,0.510643005371,0.0395088195801,0.0,0.0,0.0,-0.977235545902,0.212157224309
2018/04/09/18:37:32.988415,1071,1523324252,776520630,map,0.486640930176,0.036792755127,0.0,0.0,0.0,-0.981195881731,0.193014615184
2018/04/09/18:37:33.140948,1072,1523324252,914708019,map,0.463493347168,0.0310592651367,0.0,0.0,0.0,-0.98384356061,0.179030299799
2018/04/09/18:37:33.282743,1073,1523324253,52629652,map,0.445457458496,0.021110534668,0.0,0.0,0.0,-0.984257325341,0.176741385965
2018/04/09/18:37:33.411880,1074,1523324253,205796919,map,0.424488067627,0.0124397277832,0.0,0.0,0.0,-0.984838367343,0.173474465583
2018/04/09/18:37:33.550977,1075,1523324253,343750649,map,0.402351379395,0.000907897949219,0.0,0.0,0.0,-0.983110723575,0.18301176244
2018/04/09/18:37:33.705867,1076,1523324253,482090198,map,0.378936767578,-0.0155715942383,0.0,0.0,0.0,-0.978485292814,0.206316581367
